recorded_at_time,response_timestamp,latitude,longitude,line_name,operator_ref,vehicle_ref,journey_ref,direction_ref,date_of_journey,batch_id
2024-10-31T07:39:11.000+00,2024-10-31T07:39:23.000+00,53.226505,-0.537157,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423810
2024-10-31T07:39:31.000+00,2024-10-31T07:39:43.000+00,53.226288,-0.537657,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423812
2024-10-31T07:39:52.000+00,2024-10-31T07:40:03.000+00,53.226437,-0.537695,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423814
2024-10-31T07:40:12.000+00,2024-10-31T07:40:23.000+00,53.226616,-0.537631,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423816
2024-10-31T07:40:32.000+00,2024-10-31T07:40:43.000+00,53.22669,-0.537613,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423818
2024-10-31T07:40:53.000+00,2024-10-31T07:41:03.000+00,53.226734,-0.537614,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423820
2024-10-31T07:41:13.000+00,2024-10-31T07:41:23.000+00,53.226746,-0.537626,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423822
2024-10-31T07:41:33.000+00,2024-10-31T07:41:43.000+00,53.226757,-0.537651,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423824
2024-10-31T07:41:53.000+00,2024-10-31T07:42:03.000+00,53.22676,-0.53767,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423826
2024-10-31T07:42:14.000+00,2024-10-31T07:42:23.000+00,53.22676,-0.537687,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423828
2024-10-31T07:42:34.000+00,2024-10-31T07:42:43.000+00,53.22673,-0.537665,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423830
2024-10-31T07:42:54.000+00,2024-10-31T07:43:03.000+00,53.226746,-0.537617,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423832
2024-10-31T07:43:14.000+00,2024-10-31T07:43:23.000+00,53.22669,-0.537602,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423834
2024-10-31T07:43:35.000+00,2024-10-31T07:43:43.000+00,53.226562,-0.537641,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423836
2024-10-31T07:43:55.000+00,2024-10-31T07:44:03.000+00,53.22656,-0.53763,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423838
2024-10-31T07:44:15.000+00,2024-10-31T07:44:23.000+00,53.226536,-0.537635,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423840
2024-10-31T07:44:35.000+00,2024-10-31T07:44:43.000+00,53.226494,-0.537668,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423842
2024-10-31T07:44:55.000+00,2024-10-31T07:45:03.000+00,53.226555,-0.537644,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423844
2024-10-31T07:45:16.000+00,2024-10-31T07:45:23.000+00,53.22666,-0.537602,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423846
2024-10-31T07:45:36.000+00,2024-10-31T07:45:43.000+00,53.22671,-0.537581,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423848
2024-10-31T07:45:56.000+00,2024-10-31T07:46:03.000+00,53.226734,-0.53757,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423850
2024-10-31T07:46:16.000+00,2024-10-31T07:46:23.000+00,53.226723,-0.537576,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423852
2024-10-31T07:46:37.000+00,2024-10-31T07:46:43.000+00,53.226658,-0.5376,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423854
2024-10-31T07:46:57.000+00,2024-10-31T07:47:03.000+00,53.226612,-0.537629,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423856
2024-10-31T07:47:17.000+00,2024-10-31T07:47:23.000+00,53.226616,-0.537649,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423858
2024-10-31T07:47:37.000+00,2024-10-31T07:47:43.000+00,53.226597,-0.537655,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423860
2024-10-31T07:47:58.000+00,2024-10-31T07:48:13.000+00,53.22659,-0.537672,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423863
2024-10-31T07:48:18.000+00,2024-10-31T07:48:33.000+00,53.226624,-0.537652,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423865
2024-10-31T07:48:38.000+00,2024-10-31T07:48:53.000+00,53.226612,-0.537647,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423867
2024-10-31T07:48:58.000+00,2024-10-31T07:49:13.000+00,53.226517,-0.537681,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423869
2024-10-31T07:49:19.000+00,2024-10-31T07:49:33.000+00,53.226444,-0.537695,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423871
2024-10-31T07:49:39.000+00,2024-10-31T07:49:53.000+00,53.226395,-0.537705,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423873
2024-10-31T07:49:59.000+00,2024-10-31T07:50:13.000+00,53.22639,-0.537696,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423875
2024-10-31T07:50:19.000+00,2024-10-31T07:50:33.000+00,53.226353,-0.537731,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423877
2024-10-31T07:50:40.000+00,2024-10-31T07:50:53.000+00,53.226322,-0.537752,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423879
2024-10-31T07:51:00.000+00,2024-10-31T07:51:13.000+00,53.2263,-0.537773,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423881
2024-10-31T07:51:20.000+00,2024-10-31T07:51:33.000+00,53.22627,-0.537801,9,SCEM,SCEM-36710,11,inbound,2024-10-31,1423883
