recorded_at_time,response_timestamp,latitude,longitude,line_name,operator_ref,vehicle_ref,journey_ref,direction_ref,date_of_journey,batch_id
2024-10-30T16:42:21.000+00,2024-10-30T16:42:36.000+00,51.456863,-2.11385,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418431
2024-10-30T16:42:52.000+00,2024-10-30T16:43:07.000+00,51.456844,-2.113863,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418434
2024-10-30T16:43:22.000+00,2024-10-30T16:43:37.000+00,51.456844,-2.113857,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418437
2024-10-30T16:43:52.000+00,2024-10-30T16:44:07.000+00,51.456844,-2.113857,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418440
2024-10-30T16:44:22.000+00,2024-10-30T16:44:37.000+00,51.456844,-2.113857,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418443
2024-10-30T16:44:52.000+00,2024-10-30T16:45:07.000+00,51.456844,-2.113857,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418446
2024-10-30T16:45:22.000+00,2024-10-30T16:45:37.000+00,51.456863,-2.113863,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418449
2024-10-30T16:45:52.000+00,2024-10-30T16:46:07.000+00,51.456856,-2.113848,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418452
2024-10-30T16:46:22.000+00,2024-10-30T16:46:37.000+00,51.456833,-2.113835,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418455
2024-10-30T16:46:52.000+00,2024-10-30T16:47:07.000+00,51.456852,-2.113853,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418458
2024-10-30T16:47:22.000+00,2024-10-30T16:47:37.000+00,51.45677,-2.11381,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418461
2024-10-30T16:47:52.000+00,2024-10-30T16:47:57.000+00,51.456734,-2.113794,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418463
2024-10-30T16:48:22.000+00,2024-10-30T16:48:37.000+00,51.456768,-2.113794,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418467
2024-10-30T16:48:52.000+00,2024-10-30T16:49:17.000+00,51.456787,-2.113828,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418471
2024-10-30T16:49:22.000+00,2024-10-30T16:49:37.000+00,51.456783,-2.113806,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418473
2024-10-30T16:49:52.000+00,2024-10-30T16:50:07.000+00,51.45677,-2.113837,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418476
2024-10-30T16:50:22.000+00,2024-10-30T16:50:37.000+00,51.456783,-2.113841,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418479
2024-10-30T16:50:52.000+00,2024-10-30T16:51:07.000+00,51.456783,-2.113841,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418482
2024-10-30T16:51:22.000+00,2024-10-30T16:51:37.000+00,51.456783,-2.113841,99,COAC,LC23_XBJ,1710,outbound,2024-10-30,1418485
