"siri_vm_positions_id","operator_ref","line_name","journey_ref","direction_ref","date_of_journey","latitude","longitude","vehicle_ref","batch_id","recorded_at_time","response_time_stamp","load_time_stamp","group_id"
5401542475,FSRV,"95","0905",outbound,2024-10-10,51.470306,-2.139803,YJ13HKX,411898,2024-10-10 07:49:40.000 +0000,2024-10-10 07:49:56.000 +0000,2024-10-10 07:50:06.538 +0000,fsrv|95|0905|2024-10-10
5401542475,FSRV,"95","0905",outbound,2024-10-10,51.470306,-2.139803,YJ13HKX,411898,2024-10-10 08:25:56.000 +0000,2024-10-10 08:25:56.000 +0000,2024-10-10 08:26:06.538 +0000,fsrv|95|0905|2024-10-10
5401577328,FSRV,"95","0905",outbound,2024-10-10,51.47069,-2.138885,YJ13HKX,411900,2024-10-10 07:50:03.000 +0000,2024-10-10 07:50:16.000 +0000,2024-10-10 07:50:26.729 +0000,fsrv|95|0905|2024-10-10
